1,14.11,1.82,2.48,15.4,125,2.75,3.02,0.27,2.31,5.80,1.01,3.50,1300
1,13.28,1.88,2.22,11.8,102,2.70,2.85,0.25,1.30,4.50,1.07,3.35,1060
1,13.45,2.40,2.68,19.0,105,2.85,3.30,0.31,2.75,5.90,1.05,3.25,1200
1,14.50,2.00,2.52,17.2,115,3.90,3.55,0.23,2.10,7.90,0.90,3.40,1500
1,13.35,2.65,2.90,21.5,120,2.85,2.75,0.38,1.85,4.40,1.08,2.95,750
1,14.25,1.70,2.48,15.8,110,3.30,3.35,0.33,2.00,6.80,1.04,2.80,1430
1,14.45,1.90,2.48,14.9,98,2.55,2.55,0.29,2.00,5.30,1.00,3.55,1270
1,14.00,2.10,2.60,17.4,118,2.65,2.55,0.30,1.30,5.10,1.04,3.60,1300
1,14.90,1.60,2.20,14.2,99,2.85,3.00,0.28,2.00,5.30,1.10,2.90,1050
1,13.80,1.40,2.30,16.2,96,3.00,3.20,0.21,1.90,7.30,1.02,3.50,1050
1,14.20,2.20,2.35,18.5,107,3.00,3.35,0.21,2.40,5.80,1.20,3.15,1500
1,14.00,1.50,2.35,17.0,94,2.25,2.45,0.25,1.60,5.10,1.15,2.85,1270
1,13.70,1.80,2.45,16.4,90,2.65,2.80,0.28,1.80,5.70,1.10,2.95,1330
1,14.80,1.75,2.40,11.8,92,3.15,3.75,0.42,2.85,5.50,1.20,2.70,1160
1,14.40,1.85,2.40,12.5,104,3.35,3.60,0.28,3.00,7.60,1.18,2.95,1550
1,13.60,1.85,2.75,17.5,110,2.90,2.95,0.29,1.50,7.40,1.30,2.85,1320
1,14.35,1.95,2.70,20.5,122,2.85,3.20,0.32,2.00,6.30,1.05,2.60,1290
1,13.90,1.60,2.65,20.3,116,3.00,3.45,0.39,1.75,6.70,1.10,2.55,1140
